,Brand,Product Name,Price,Availability,Expected Delivery,Return Policy,Exchange,Product Url
70,Generic,Sportyway Liverpool red Football Jersey Set T-Shirt and Shorts,₹599,Available,-,Not Available,Not Applicable,https://www.amazon.in/Sportyway-Liverpool-Football-Jersey-T-Shirt/dp/B09PJJ2ZSQ/ref=sr_1_59?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-59
71,Generic,Infinity Sports Manchester United Away Football Jersey and Manchester United Third Football Jersey,₹479,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Sports-Manchester-United-Football/dp/B09V1BTK18/ref=sr_1_60?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-60
72,BODYSPORTS.CO,Argentina Black COPA America Football Jersey,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/BODYSPORTS-CO-Argentina-America-Football-Jersey/dp/B0B3TN15RK/ref=sr_1_61?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-61
73,Real Basics,Boy's Regular Tshirt(Pack of 1),₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Real-Basics-Fullsleeve-Regular-Football/dp/B08LCHXKVV/ref=sr_1_62?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-62
74,Li-Ning,Round Neck Badminton T-Shirts,₹899,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/Li-Ning-Round-Neck-Badminton-T-Shirts/dp/B0B58TDP4W/ref=sr_1_63?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-63
75,Daily Orders,Soccer t-Shirts for Men Football Jersey with My Name Printed Football Jersey for Men Under 400 Soccer Jersey Customized Personalized Football Jersey with Name DOdr1008-C901159-C-WH,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Customized-Personalized-DOdr1008-C901159-C-WH-L/dp/B09MFXQ4RC/ref=sr_1_64?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-64
76,Adidas,Boy's Regular T-Shirt,₹800,Available,-,Not Available,Not Applicable,https://www.amazon.in/Adidas-Regular-T-Shirt-FQ6887_White-Small/dp/B08C7CP3DS/ref=sr_1_65?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-65
77,Qiddo,Sports Girls T-Shirt,₹630,Available,-,Not Available,Not Applicable,https://www.amazon.in/Qiddo-Dazzling-Graphic-T-Shirt-Years/dp/B09MKWP6X5/ref=sr_1_66?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-66
78,Qiddo,Sports Boys T-Shirt,₹630,Available,-,Not Available,Not Applicable,https://www.amazon.in/Qiddo-Athletic-Running-Lemon-T-Shirt/dp/B09MJHW4Z3/ref=sr_1_67?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-67
79,Bodysports.co,Manchester Football Jersey Embroidered Logo,₹305,Available,-,Not Available,Not Applicable,https://www.amazon.in/Bodysports-co-Manchester-Football-Jersey-Embroidered/dp/B09LZB3P2N/ref=sr_1_68?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-68
80,Generic,Nakoda Creation Full Sleeve T-shirt Round neck,₹699,Only 1 left in stock.,+,30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07821582BRHPATFIP86A&url=%2FNakoda-Creation-Sleeve-T-shirt-Round%2Fdp%2FB0B7SQF9VC%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-69-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_mtf
81,Generic,Nakoda Creation Full Sleeve T-shirt Round Neck,₹699,Only 1 left in stock.,+,30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A078074237EU40BHBI45Y&url=%2FNakoda-Creation-Sleeve-T-shirt-Round%2Fdp%2FB0B7SLBS5C%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-70-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_mtf
82,Jump Cuts,"Men's Printed Round Neck Fullsleeve Yellow, Black Cotton Tshirt",₹349,Available,"Saturday, 6 August on your first order in this category",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0884265U7N4Y3F4L4K3&url=%2FJump-Cuts-Printed-Fullsleeve-Cotton%2Fdp%2FB09Y3KM86M%2Fref%3Dsr_1_71_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-71-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_mtf
83,Generic,"Nakoda Creation Full Sleeve T-shirt, Raund Neck",₹699,Only 1 left in stock.,+,30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0759054FD879H2RR3MI&url=%2FNakoda-Creation-Sleeve-T-shirt-Raund%2Fdp%2FB0B7SN9ZZ2%2Fref%3Dsr_1_72_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-72-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_mtf
84,Generic,"Solid Polyester Men Round Neck Sleeveless Dry Fit T-Shirt with Attractive Logo for Gym/Running/Cycling/Football/Casual – Pack of 2 (Maroon, Grey)",₹279,Available,-,Not Available,Not Applicable,https://www.amazon.in/Polyester-Sleeveless-T-Shirt-Attractive-Football/dp/B09ZLNYD1M/ref=sr_1_73?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-73
85,VnM,Men's & Women's FCB Forca Barca Football Printed Cotton Full Sleeve T-Shirt,₹699,Available,-,Not Available,Not Applicable,https://www.amazon.in/VnM-Womens-Football-Printed-T-Shirt/dp/B09R4PHQLT/ref=sr_1_74?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-74
86,ATICX,"ActiWear Polyester Camouflage Muscle Tee for Men - Sleeveless Sports T-Shirt for Gym, Running, Cycling, Football, Basketball - 4 Way Stretch Lycra Sando Top Tank",₹475,Available,-,Not Available,Not Applicable,https://www.amazon.in/ATICX-Polyester-Actiwear-Technology-Musteecamo-01/dp/B08XMFPZ1G/ref=sr_1_75?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-75
87,Bon Organik,Boy's Regular Fit T-Shirt,₹549,Available,-,Not Available,Not Applicable,https://www.amazon.in/Bon-Organik-Regular-T-Shirt-BON7843_Multi3/dp/B0999NB62B/ref=sr_1_76?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-76
88,Zesteez,Men's Slim Fit Shirt,₹449,Available," Friday, August 5",Not Available,Not Applicable,https://www.amazon.in/Zesteez-Compression-Athletic-Football-Badminton/dp/B07FRK8CKH/ref=sr_1_77?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-77
89,Daily Orders,Kabaddi Jersey with Number and Name Printed Kabaddi kit for Boys Sport pro Kabaddi Jersey Full Set kabbadi t Shirts for Men Kabaddi Jersey Shorts Athletics Yoga DOdr1008-C901125-C-WH,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Kabaddi-Athletics-DOdr1008-C901125-C-WH-L/dp/B09MJ3NYDC/ref=sr_1_78?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-78
90,Qiddo,Sports Girls T-Shirt,₹525,Available,-,Not Available,Not Applicable,https://www.amazon.in/Qiddo-Sports-T-Shirt-QG07B-12-13-Turquoise/dp/B08D95GGYC/ref=sr_1_79?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-79
91,Daily Orders,Kabaddi Jersey with Number and Name Printed Kabaddi kit for Boys Sport pro Kabaddi Jersey Full Set kabbadi t Shirts for Men Kabaddi Jersey Shorts Athletics Yoga DOdr1008-C901121-C-WH,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Kabaddi-Athletics-DOdr1008-C901121-C-WH-M/dp/B09MJ3W57K/ref=sr_1_80?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-80
92,Generic,Yoga Clothes Workout T-Shirt Women Sport Training Short-Red-Parent,--,Available,-,10 Days Returnable,Not Applicable,https://www.amazon.in/Generic-clothes-Workout-Training-Short-Red-Medium/dp/B077VMKMTV/ref=sr_1_81?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-81
93,Triumph,Men’s T-Shirt for Sports Polyester Regular Fit Sportee Workout Activewear Fitness Gym & Running Quick Dry Round Neck Jersey Multi-Sport Half Sleeve Shirt,₹522,Available,-,Not Available,Not Applicable,https://www.amazon.in/Triumph-T-Shirt-Polyester-Activewear-Multi-Sport/dp/B08ZYSW2V2/ref=sr_1_82?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-82
94,ARIEL,Boy's Regular Tshirt(Pack of 1),₹349,Available,-,Not Available,Not Applicable,https://www.amazon.in/ARIEL-Fullsleeve-Tshirt-Regular-Football/dp/B08LKNKX1H/ref=sr_1_83?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-83
95,S-Mark,Cricket T-Shirt Half-Sleeves (Cotton),₹420,Available," Saturday, August 6",10 day Refund/Replacement,Not Applicable,https://www.amazon.in/S-Mark-Cricket-T-Shirt-Half-Sleeves-Cotton/dp/B00VUU4WOE/ref=sr_1_84?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-84
96,Triumph,Men's Running Regular Fit T-Shirt Jersey T-Shirt Fitness Workout t Shirt Joggers Jersey Jogging Tshirt Jersey Men's Solid Regular Fit Half Sleeve Polyester T-Shirt Sports tees,₹749,Available,-,Not Available,Not Applicable,https://www.amazon.in/Triumph-Running-Regular-T-Shirt-Polyester/dp/B097C6LX3L/ref=sr_1_85?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-85
97,CupidStore,Football Half Sleeves T Shirts - Cristiano Ronaldo | Ronaldo 7 | CR7 Premium Cotton Half-Sleeves Tshirt for Mens,₹499,Available,-,Not Available,Not Applicable,https://www.amazon.in/CupidStore-Football-Half-Sleeves-Shirts/dp/B086N16NHD/ref=sr_1_86?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-86
98,ATICX,"ActiWear Polyester Muscle Tee for Men - Sleeveless Sports T-Shirt for Gym, Running, Cycling, Football, Basketball - 4 Way Stretch Lycra Sando Top Tank",₹435,Available,-,Not Available,Not Applicable,https://www.amazon.in/ATICX-ActiWear-Polyester-Muscle-Tee/dp/B09YXMX9QD/ref=sr_1_87?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-87
99,SG,T-Shirt WMN SG RN WTSSR046 Navy L,₹500,Available," Tuesday, August 2",10 Days Replacement,Not Applicable,https://www.amazon.in/T-Shirt-WMN-SG-WTSSR046-Navy/dp/B096BB626W/ref=sr_1_88?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-88
100,B-TUF,Men's Compression T-Shirt Top Skin Tight Fit Lycra Half Sleeve for Gym Cricket Football Badminton Outdoor Inner Sports Wear (Black) BT-61,₹699,Available,-,Not Available,Not Applicable,https://www.amazon.in/B-TUF-Compression-T-Shirt-Football-Badminton/dp/B07NCXDT56/ref=sr_1_89?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-89
101,Li-Ning,Training Polo Badminton Tshirt,₹499,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/Li-Ning-Training-Polo-Badminton-Tshirt/dp/B09WDRWXST/ref=sr_1_90?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-90
