,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
20,HH,HH Official Basket Ball Outdoor Sports Slam Dunk NBA Basket Ball Youth Adult Men,699,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/Official-Basket-Outdoor-Sports-Youth/dp/B0B7S1T8D9/ref=sr_1_19?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-19
21,ROXON,"ROXON Basketball Size 7,with Pump PU Pasted & Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs",429,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/Basketball-Outdoor-Training-Learner-Basketballs/dp/B0B4K7JK57/ref=sr_1_20?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-20
22,Toyshine,Toyshine Professional Heavy Duty (58 X 47Cm) Basketball Stand with net and 7 no Basketball - SSTP,"1,329",Available," Saturday, August 6",10 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09535283FT1DBO99TRK3&url=%2FToyshine-Professional-Heavy-Basketball-Stand%2Fdp%2FB08XBMZ4PR%2Fref%3Dsr_1_21_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-21-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_mtf
23,Toyshine,"Toyshine Indoor Door and Wall Mountable Basketball Hoop Set, with 3 No Basketball (Color May Vary) (SSTP)-B",599,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A033139425TP5FB74RXJ1&url=%2FToyshine-Indoor-Mountable-Basketball-Color%2Fdp%2FB098JB47F9%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-22-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_mtf
24,Toyshine,"Toyshine Cartoon Design Indoor - Door and Wall Mountable Basketball Hoop Set with 5 No Basketball , Mix Color (SSTP)",540,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03422212V2T5B4UKJHC7&url=%2FToyshine-Cartoon-Design-Indoor-Basketball%2Fdp%2FB08Q7YC8GS%2Fref%3Dsr_1_23_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-23-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_mtf
25,Kvitoe,Kvitoe Basketball Set for Kids Basketball with Stand for Boys and Girls for Play Home and Garden Use (1 to 10 Years Children) Multicolor (Basketball Set),699,Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A040862411QP1A4HXP7JE&url=%2FKvitoe-Basketball-Garden-Children-Multicolor%2Fdp%2FB08T96FMYZ%2Fref%3Dsr_1_24_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-24-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_mtf
26,Nivia,"Nivia 1124 Rubber Basketball, (Multicolour)",960,Available," Tuesday, August 9",10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-FIBA-Approved-Basketball-Multicolor/dp/B08SBRBQ6H/ref=sr_1_25?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-25
27,Vector,Vector X Power Basketball (Black-White-Orange),429,Available," Tuesday, August 9",10 Days Replacement,Not Applicable,https://www.amazon.in/Vector-X-BB-POWER-BLK-WHT-ORNG-7-BB-Power-BLK-WHT-ORNG-7-Basketball/dp/B07L8VGMCB/ref=sr_1_26?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-26
28,canscorp,"canscorp Basketball Size 7, PU Pasted & Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs",350,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/canscorp-Basketball-Outdoor-Training-Basketballs/dp/B0B36CWLWL/ref=sr_1_27?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-27
29,Nike,"Nike BS3009-855 Rubber Basketball, Size 7, (Orange, Black, Metal Silver)","1,180",Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/Nike-Baller-Basketball-Ball-Size/dp/B07GBFN4V7/ref=sr_1_28?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-28
