,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
42,Panasonic,"Panasonic 592 L Wifi Inverter Frost-Free Side by Side Refrigerator (NR-BS62MKX1, Black, Stainless Steel Finish)","75,990",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07612787B81SE2JIXCG&url=%2FPanasonic-Frost-Free-Refrigerator-NR-BS62MKX1-Stainless%2Fdp%2FB08W1RWMPS%2Fref%3Dsr_1_37_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372689%26sprefix%3D%252Caps%252C395%26sr%3D8-37-spons%26psc%3D1&qualifier=1659372689&id=3828164566859793&widgetName=sp_btf
43,Samsung,"Samsung 253 L 2 Star Frost-Free Double Door Refrigerator (RT28B3922S9/HL, Refined Inox, Convertible)","24,690",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0103429HJFYCJAO0P3O&url=%2FSamsung-Frost-Free-Refrigerator-RT28B3922S9-Convertible%2Fdp%2FB09ZHMR72P%2Fref%3Dsr_1_38_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372689%26sprefix%3D%252Caps%252C395%26sr%3D8-38-spons%26psc%3D1&qualifier=1659372689&id=3828164566859793&widgetName=sp_btf
44,AmazonBasics,"AmazonBasics 345 L 2 star Frost Free Double Door Refrigerator (Silver, Auto Defrosting)","27,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A01974833GJKJUQA4FC8Z&url=%2FAmazonBasics-AB2019RF006-Refrigerator-Model-6%2Fdp%2FB07R68LF7P%2Fref%3Dsr_1_33_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372811%26sprefix%3D%252Caps%252C395%26sr%3D8-33-spons%26psc%3D1&qualifier=1659372811&id=7151723078530380&widgetName=sp_atf_next
45,Godrej,"Godrej 185 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RD UNO 1854 PTI ZN BL, Zen Blue, Cool Lock Technology)","14,690",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A081645837MPATDT4LSJZ&url=%2FGodrej-Inverter-Direct-Cool-Refrigerator-Technology%2Fdp%2FB0B1JL4767%2Fref%3Dsr_1_34_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372811%26sprefix%3D%252Caps%252C395%26sr%3D8-34-spons%26psc%3D1&qualifier=1659372811&id=7151723078530380&widgetName=sp_atf_next
46,Whirlpool,Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS PLUS 2S WINE BLOOM),"13,540",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Whirlpool-Direct-Cool-Single-Refrigerator-BLOOM/dp/B09PMTDDLR/ref=sr_1_35?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-35
47,Whirlpool,"Whirlpool 265 L 3 Star Inverter Frost-Free Double Door Refrigerator with Intellisense inverter technology(INTELLIFRESH INV CNV 278 3S, German Steel, Convertible)","27,190",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Whirlpool-Refrigerator-INV-CNV-278/dp/B083JN87RJ/ref=sr_1_36?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-36
48,LG,"LG 204 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D211HPZZ, Shiny Steel, Base stand with drawer & Smart connect)","20,590",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D211HPZZ/dp/B0B4T3V7L4/ref=sr_1_37?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-37
49,Samsung,"Samsung 255 L 3 Star Inverter Direct Cool Single Door Refrigerator(RR26T389YUT/HL, Pebble Blue, Base Stand with Drawer)","20,390",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Inverter-Refrigerator-RR26T389YUT-HL/dp/B08346C9R4/ref=sr_1_38?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-38
50,Whirlpool,"Whirlpool 190 L 3 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS 3S, Grey)","13,490",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Whirlpool-Refrigerator-WDE-205-CLS/dp/B0842QYCRZ/ref=sr_1_39?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-39
51,Godrej,"Godrej 190 L 3 Star Inverter Direct-Cool Single Door Refrigerator with Jumbo Vegetable Tray (RD 1903 EWHI 33 STL BL, Steel Blue, Inverter Compressor)","13,690",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Godrej-Refrigerator-1903-EWHI-STL/dp/B08GQR27GT/ref=sr_1_40?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372811&sprefix=%2Caps%2C395&sr=8-40
